CurveUID,SandboxUID,CurveDate,RangeSEQ,Value,EstimateFlag,NewRangeSEQ,DateRank,IsSecondLargestDate,TwoLast_Denominator,Normal_Denominator,LN_Calc
30000,0,2025-08-29,2,2.997,N,1,1,0,,2.944,0.017842587467896437
30000,0,2025-08-29,3,3.333,N,2,1,0,,3.261,0.021838902518420668
30000,0,2025-08-29,4,3.914,N,3,1,0,,3.816,0.02535711538784437
30000,0,2025-08-29,5,4.243,N,4,1,0,,4.144,0.023609061263005944
30000,0,2025-08-29,6,4.008,N,5,1,0,,3.932,0.01914416149764352
30000,0,2025-08-29,7,3.619,N,6,1,0,,3.572,0.013072081567352921
30000,0,2025-08-29,8,3.487,N,7,1,0,,3.448,0.011247414892067488
30000,0,2025-08-29,9,3.525,N,8,1,0,,3.486,0.011125489166402684
30000,0,2025-08-29,10,3.709,N,9,1,0,,3.67,0.010570636440974947
30000,0,2025-08-29,11,3.906,N,10,1,0,,3.872,0.008742663040156676
30000,0,2025-08-29,12,3.96,N,11,1,0,,3.929,0.007859084690066605
30000,0,2025-08-29,13,3.918,N,12,1,0,,3.889,0.007429264348738859
30000,0,2025-08-29,14,3.956,N,13,1,0,,3.929,0.006848473184143111
30000,0,2025-08-29,15,4.165,N,14,1,0,,4.142,0.0055375126454136146
30000,0,2025-08-29,16,4.557,N,15,1,0,,4.535,0.004839428714645541
30000,0,2025-08-29,17,4.805,N,16,1,0,,4.785,0.004171017517338104
30000,0,2025-08-29,18,4.458,N,17,1,0,,4.447,0.0024705234351177266
30000,0,2025-08-29,19,3.864,N,18,1,0,,3.853,0.002850850706250924
30000,0,2025-08-29,20,3.448,N,19,1,0,,3.445,0.0008704483358248393
30000,0,2025-08-29,21,3.421,N,20,1,0,,3.418,0.0008773213020684291
30000,0,2025-08-29,22,3.568,N,21,1,0,,3.561,0.0019638104221222316
30000,0,2025-08-29,23,3.74,N,22,1,0,,3.735,0.0013377928416599535
30000,0,2025-08-29,24,3.795,N,23,1,0,,3.787,0.0021102619279355643
30000,0,2025-08-29,25,3.762,N,24,1,0,,3.754,0.002128792714521534
30000,0,2025-08-29,26,3.82,N,25,1,0,,3.81,0.0026212334798740656
30000,0,2025-08-29,27,4.029,N,26,1,0,,4.016,0.003231823819782084
30000,0,2025-08-29,28,4.458,N,27,1,0,,4.44,0.004045858519543575
30000,0,2025-08-29,29,4.754,N,28,1,0,,4.731,0.004849772288991125
30000,0,2025-08-29,30,4.405,N,29,1,0,,4.389,0.0036388486820459224
30000,0,2025-08-29,31,3.765,N,30,1,0,,3.767,-0.0005310674580470417
30000,0,2025-08-29,32,3.288,N,31,1,0,,3.289,-0.00030409001298653673
30000,0,2025-08-29,33,3.257,N,32,1,0,,3.255,0.0006142506335638859
30000,0,2025-08-29,34,3.408,N,33,1,0,,3.401,0.0020561029420109243
30000,0,2025-08-29,35,3.586,N,34,1,0,,3.575,0.003072199036970059
30000,0,2025-08-29,36,3.654,N,35,1,0,,3.644,0.002740478558103065
30000,0,2025-08-29,37,3.634,N,36,1,0,,3.626,0.002203857641320031
30000,0,2025-08-29,38,3.697,N,37,1,0,,3.69,0.00189522190205902
30000,0,2025-08-29,39,3.937,N,38,1,0,,3.932,0.0012708096766803282
30000,0,2025-08-29,40,4.391,N,39,1,0,,4.387,0.0009113693955036575
30000,0,2025-08-29,41,4.659,N,40,1,0,,4.656,0.0006441224055230074
30000,0,2025-08-29,42,4.309,N,41,1,0,,4.296,0.0030215014271372663
30000,0,2025-08-29,43,3.608,N,42,1,0,,3.597,0.0030534374868904698
30000,0,2025-08-29,44,3.153,N,43,1,0,,3.151,0.0006345177877863838
30000,0,2025-08-29,45,3.134,N,44,1,0,,3.124,0.003195911956389569
30000,0,2025-08-29,46,3.287,N,45,1,0,,3.278,0.002741814360444474
30000,0,2025-08-29,47,3.466,N,46,1,0,,3.457,0.002600030353927041
30000,0,2025-08-29,48,3.533,N,47,1,0,,3.524,0.0025506603030750422
30000,0,2025-08-29,49,3.514,N,48,1,0,,3.505,0.002564469278351932
30000,0,2025-08-29,50,3.588,N,49,1,0,,3.58,0.002232143783940856
30000,0,2025-08-29,51,3.786,N,50,1,0,,3.778,0.00211528370781322
30000,0,2025-08-29,52,4.238,N,51,1,0,,4.23,0.0018894667879207287
30000,0,2025-08-29,53,4.502,N,52,1,0,,4.495,0.0015560745609567283
30000,0,2025-08-29,54,4.237,N,53,1,0,,4.23,0.001653478586235512
30000,0,2025-08-29,55,3.599,N,54,1,0,,3.592,0.0019468786569404432
30000,0,2025-08-29,56,3.075,N,55,1,0,,3.069,0.00195312562088207
30000,0,2025-08-29,57,3.033,N,56,1,0,,3.027,0.0019801986668622792
30000,0,2025-08-29,58,3.158,N,57,1,0,,3.152,0.0019017438378174812
30000,0,2025-08-29,59,3.298,N,58,1,0,,3.292,0.001820941322583921
30000,0,2025-08-29,60,3.362,N,59,1,0,,3.357,0.0014883169885260186
30000,0,2025-08-29,61,3.336,N,60,1,0,,3.331,0.0014999252849577387
